Notebook Path,Notebook Name,Character Count
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,Cross_Validation.ipynb,74
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,Erste_Schritte.ipynb,949
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,fitting.ipynb,3200
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,Größe_des_Datensatzes.ipynb,3714
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,KNN(en).ipynb,2348
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,KNN.ipynb,2348
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,Korrelation_vs._Kausalität.ipynb,31
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,Polynome.ipynb,3060
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,splitting.ipynb,2623
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,Support_Vector_Machine.ipynb,464
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,SU_Learning.ipynb,159
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,Unterschiedliche_Modelle.ipynb,1889
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,Verwirrungsmatrix.ipynb,19
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning,_Maschine_Learning_.ipynb,1163
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\.ipynb_checkpoints,Cross_Validation-checkpoint.ipynb,74
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\.ipynb_checkpoints,fitting-checkpoint.ipynb,3200
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\.ipynb_checkpoints,KNN(en)-checkpoint.ipynb,2348
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\.ipynb_checkpoints,KNN-checkpoint.ipynb,2348
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\.ipynb_checkpoints,splitting-checkpoint.ipynb,2613
C:\Users\jbous\Desktop\Data-Analyst\Work_Ordner\Self_Education\Files\Data_Analyses\Themen\Maschine_Learning\.ipynb_checkpoints,Unterschiedliche_Modelle-checkpoint.ipynb,1889
